count,time,mass(0.97),mass(1.95),mass(2.85),mass(3.82),mass(5.15),valid,fileName,cha,Measure Mode,unit,cycles,Time,amuNames,intensity,lifebit
,,,,,,,,,,,,,,,,
1,1726511401,6.40E-13,6.94E-12,1.07E-10,5.71E-10,-4.43E-14,TRUE,(UIUC Quad) HeliumMID.par,5,IVT,(A),9377,1:29:57 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[6.395047794E-13, 6.943601076E-12, 1.066041977E-10, 5.711302542E-10, -4.430962162E-14]",TRUE
2,1726511401,7.89E-13,6.90E-12,1.06E-10,5.70E-10,-3.68E-14,TRUE,(UIUC Quad) HeliumMID.par,5,IVT,(A),9378,1:29:59 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[7.893974645E-13, 6.896123429E-12, 0.000000000105813705, 5.699702377E-10, -3.678062358E-14]",FALSE
3,1726511402,7.29E-13,7.08E-12,1.06E-10,5.71E-10,-3.92E-14,TRUE,(UIUC Quad) HeliumMID.par,5,IVT,(A),9379,1:30:02 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[7.285322519E-13, 7.075581874E-12, 1.057807245E-10, 5.710608653E-10, -3.921438979E-14]",TRUE
4,1726511404,6.91E-13,7.02E-12,1.06E-10,5.70E-10,-3.92E-14,TRUE,(UIUC Quad) HeliumMID.par,5,IVT,(A),9380,1:30:05 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[6.908115031E-13, 7.018897616E-12, 1.055612819E-10, 5.696816352E-10, -3.915943768E-14]",FALSE
5,1726511407,6.80E-13,6.90E-12,1.06E-10,5.72E-10,-3.44E-14,TRUE,(UIUC Quad) HeliumMID.par,5,IVT,(A),9381,1:30:07 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[6.79628554E-13, 6.901540971E-12, 1.059391186E-10, 5.716256357E-10, -3.436181258E-14]",TRUE
6,1726511410,7.32E-13,7.06E-12,1.06E-10,5.70E-10,-3.46E-14,TRUE,(UIUC Quad) HeliumMID.par,5,IVT,(A),9382,1:30:10 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[7.317508145E-13, 7.061327651E-12, 1.063265101E-10, 5.703804096E-10, -3.455163944E-14]",FALSE
7,1726511412,7.36E-13,6.85E-12,1.06E-10,5.71E-10,-3.95E-14,TRUE,(UIUC Quad) HeliumMID.par,5,IVT,(A),9383,1:30:13 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[7.360401351E-13, 6.84793975E-12, 1.061683727E-10, 5.711038309E-10, -3.947624833E-14]",TRUE
8,1726511415,7.01E-13,7.03E-12,1.07E-10,5.69E-10,-3.66E-14,TRUE,(UIUC Quad) HeliumMID.par,5,IVT,(A),9384,1:30:15 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[7.014537063E-13, 7.03390254E-12, 1.067973557E-10, 5.693492344E-10, -3.657185367E-14]",FALSE
9,1726511417,6.31E-13,7.02E-12,1.06E-10,5.70E-10,-3.60E-14,TRUE,(UIUC Quad) HeliumMID.par,5,IVT,(A),9385,1:30:18 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[6.308645013E-13, 7.017667697E-12, 1.062297125E-10, 5.704710038E-10, -3.599654212E-14]",TRUE
10,1726511420,7.03E-13,6.96E-12,1.07E-10,5.69E-10,-4.13E-14,TRUE,(UIUC Quad) HeliumMID.par,5,IVT,(A),9386,1:30:20 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[7.028132958E-13, 6.960054061E-12, 1.066738156E-10, 0.000000000569250036, -4.131301217E-14]",FALSE
11,1726511423,6.66E-13,6.96E-12,1.06E-10,5.71E-10,-3.24E-14,TRUE,(UIUC Quad) HeliumMID.par,5,IVT,(A),9387,1:30:23 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[6.658658E-13, 6.961752789E-12, 1.057316387E-10, 5.708439277E-10, -3.244749779E-14]",TRUE
12,1726511425,6.87E-13,7.00E-12,1.07E-10,5.72E-10,-4.03E-14,TRUE,(UIUC Quad) HeliumMID.par,5,IVT,(A),9388,1:30:26 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[6.869762463E-13, 6.999507744E-12, 1.067418723E-10, 0.000000000571893477, -4.027284894E-14]",FALSE
13,1726511428,6.77E-13,6.90E-12,1.07E-10,5.72E-10,-4.45E-14,TRUE,(UIUC Quad) HeliumMID.par,5,IVT,(A),9389,1:30:28 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[6.77471859E-13, 6.896400551E-12, 1.066154595E-10, 5.716530027E-10, -4.44683251E-14]",TRUE
14,1726511431,7.24E-13,6.99E-12,1.06E-10,5.71E-10,-3.91E-14,TRUE,(UIUC Quad) HeliumMID.par,5,IVT,(A),9390,1:30:31 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[7.240865893E-13, 6.991510669E-12, 1.059287449E-10, 5.707964656E-10, -3.909903068E-14]",FALSE
15,1726511433,6.24E-13,7.09E-12,1.05E-10,5.72E-10,-3.61E-14,TRUE,(UIUC Quad) HeliumMID.par,5,IVT,(A),9391,1:30:34 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[6.23903327E-13, 7.092556577E-12, 1.054873897E-10, 5.716609408E-10, -3.605910397E-14]",TRUE
16,1726511436,6.81E-13,7.02E-12,1.07E-10,5.72E-10,-3.73E-14,TRUE,(UIUC Quad) HeliumMID.par,5,IVT,(A),9392,1:30:36 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[6.808795064E-13, 7.020373432E-12, 1.068175548E-10, 5.720037777E-10, -3.7313492E-14]",FALSE
17,1726511439,6.28E-13,6.95E-12,1.07E-10,5.71E-10,-3.77E-14,TRUE,(UIUC Quad) HeliumMID.par,5,IVT,(A),9393,1:30:39 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[6.278058585E-13, 6.948010309E-12, 0.000000000106550456, 5.714617668E-10, -3.77352907E-14]",TRUE
18,1726511441,6.95E-13,6.93E-12,1.07E-10,5.71E-10,-3.91E-14,TRUE,(UIUC Quad) HeliumMID.par,5,IVT,(A),9394,1:30:41 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[6.954936301E-13, 6.92899774E-12, 1.068819408E-10, 5.712156859E-10, -3.908801925E-14]",FALSE
19,1726511444,6.67E-13,6.93E-12,1.06E-10,5.70E-10,-4.43E-14,TRUE,(UIUC Quad) HeliumMID.par,5,IVT,(A),9395,1:30:44 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[6.67280467E-13, 6.926047843E-12, 1.062645111E-10, 5.702620043E-10, -4.426873364E-14]",TRUE
20,1726511447,6.55E-13,7.00E-12,1.06E-10,5.72E-10,-4.05E-14,TRUE,(UIUC Quad) HeliumMID.par,5,IVT,(A),9396,1:30:47 PM,"['0.97', '1.95', '2.85', '3.82', '5.15']","[6.551162065E-13, 6.995307979E-12, 1.061079141E-10, 5.720869334E-10, -4.046729382E-14]",FALSE
